SID,source,date,ema,sh-support_1,sh-support_4,sh-support_5,sh-support_6,sh-support_7,sh-support_8,sh-support_9,sh-loneliness_18,sh-loneliness_35,sh-loneliness_36,sh-loneliness_37,sh-loneliness_38,sh-loneliness_39,sh-loneliness_40,sh-loneliness_41,sh-loneliness_42,sh-loneliness_43,sh-loneliness_44,sh-loneliness_45,sh-loneliness_46,sh-loneliness_47,sh-loneliness_48,sh-loneliness_49,sh-loneliness_50,sh-loneliness_51,sh-loneliness_52,sh-loneliness_53,sh-isolation_kids_01,sh-isolation_kids_02,sh-isolation_kids_03,sh-isolation_kids_04,sh-isolation_family_01,sh-isolation_family_02,sh-isolation_family_03,sh-isolation_family_04,sh-isolation_friends_01,sh-isolation_friends_02,sh-isolation_friends_03,sh-isolation_friends_04,BFI_E_1,BFI_E_2,BFI_E_3,BFI_E_4,BFI_E_5,BFI_E_6,BFI_E_7,BFI_E_8,BFI_E_9,BFI_E_10,BFI_E_11,BFI_E_12,BFI_A_1,BFI_A_2,BFI_A_3,BFI_A_4,BFI_A_5,BFI_A_6,BFI_A_7,BFI_A_8,BFI_A_9,BFI_A_10,BFI_A_11,BFI_A_12,BFI_C_1,BFI_C_2,BFI_C_3,BFI_C_4,BFI_C_5,BFI_C_6,BFI_C_7,BFI_C_8,BFI_C_9,BFI_C_10,BFI_C_11,BFI_C_12,BFI_N_1,BFI_N_2,BFI_N_3,BFI_N_4,BFI_N_5,BFI_N_6,BFI_N_7,BFI_N_8,BFI_N_9,BFI_N_10,BFI_N_11,BFI_N_12,BFI_O_1,BFI_O_2,BFI_O_3,BFI_O_4,BFI_O_5,BFI_O_6,BFI_O_7,BFI_O_8,BFI_O_9,BFI_O_10,BFI_O_11,BFI_O_12,E_angry,E_afraid,E_happy,E_excited,E_proud,E_guilty,E_attentive,E_content,E_purposeful,E_goaldir,CT_1,CT_2,CT_3,pur_01,pur_02,pur_03,pur_04,pur_05,pur_06,pur_07,SWL_1,SWL_2,SWL_3,SWL_4,SWL_5,SAT_1,SAT_2,SAT_3,SAT_4,SAT_5,SAT_6,SAT_7,SAT_8,SAT_9,sud_MINI_1,sud_MINI_2,sud_dudit_1,sud_dudit_2,sud_dudit_3,sud_dudit_4,sud_dudit_5,sud_dudit_6,sud_dudit_7,sud_dudit_10,sud_dudit_11,sud_dudit_14,sud_dudit_15,sud_dudit_16,sud_dudit_17,sud_dudit_18,sud_dudit_19,sud_dudit_20,sud_dudit_21,chron_MEQ_01,chron_MEQ_02,chron_MEQ_03,chron_MEQ_04,chron_MEQ_05,chron_MEQ_06,chron_MEQ_07,chron_MEQ_08,chron_MEQ_09,chron_MEQ_10,chron_MEQ_11,chron_MEQ_12,chron_MEQ_13,chron_MEQ_14,chron_MEQ_15,chron_MEQ_16,chron_MEQ_17,chron_MEQ_18,chron_MEQ_19,chron_MEQ_20,demo_YOB,demo_age,demo_hispanic,demo_ethnicity_1,demo_ethnicity_2,demo_ethnicity_3,demo_ethnicity_4,demo_ethnicity_5,demo_ethnicity_6,demo_ethnicity_7,demo_education,demo_mom_edu,demo_dad_edu,demo_gender,demo_gender_3_TEXT,demo_english,demo_country,demo_relationship,demo_nChildren,demo_livingSituation,demo_employment,demo_workHours,demo_workDaily,demo_workWeekly,demo_income,demo_zipChildhood,demo_zipCurrent,demo_typicalWake,demo_earliestWake,demo_latestWake,demo_typicalBed,demo_earliestBed,demo_latestBed,demo_orientation,demo_orientation_4_TEXT,demo_libconserv_1,demo_relAct,demo_church,cog_date,Matching_Shapes_and_Numbers,Fast_Reactions,Remembering_Words_Test,Thinking_Back,Visual_Patterns,Vocabulary
20767,TMB,2024-06-06T19:03:08Z,TRUE,2,3,3,3,2,2,3,2,3,3,3,1,2,3,3,2,2,2,3,3,3,2,2,3,3,2,3,5,2,6,6,6,6,6,6,1,2,6,6,2,3,3,4,3,3,4,3,1,1,4,4,4,4,2,2,4,4,2,2,4,4,3,3,4,2,4,3,2,4,4,5,4,4,4,4,4,4,4,2,2,4,4,5,2,2,4,3,5,5,1,2,5,5,2,1,3,3,3,2,1,2,3,2,3,2,4,2,4,4,Procrastinator,Intelligent,Stubborn,4,5,3,5,4,2,1,1,2,2,3,2,2,3,1,1,1,1,6,5,2,NA,NA,1,1,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,3,3,1,1,3,1,2,3,4,3,1,1,3,3,2,4,3,3,1,1963,61,0,1,NA,NA,NA,1,NA,NA,5,1,1,1,NA,1,United States of America,4,0,1,2,1,4,4,$25000,21224,21222,08:00 AM,07:00 AM,10:00 AM,11:00 PM,10:00 PM,12:00 AM,1,NA,5,4,3,NA,,,,,,
63450,TMB,2024-06-12T02:41:26Z,TRUE,3,2,3,4,4,3,2,4,1,1,2,3,3,2,1,3,3,2,1,1,1,4,3,2,1,4,4,1,1,1,1,3,3,4,3,2,2,3,2,5,5,2,2,4,5,2,2,5,5,1,2,5,5,1,1,5,5,3,1,4,5,1,4,5,5,2,1,5,5,1,2,5,5,2,1,2,3,3,2,1,2,5,5,2,4,4,3,4,5,1,1,5,5,1,1,5,5,1,1,1,1,5,4,3,3,5,4,5,5,Personable,Positive,Persistent,3,6,1,1,6,6,1,6,6,6,5,7,7,6,7,6,7,7,6,6,6,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,3,4,2,1,2,2,3,2,3,1,1,3,2,2,3,3,3,3,1979,46,0,NA,NA,NA,NA,1,NA,NA,6,2,1,1,NA,1,United States,2,2,1,8,4,1,1,$135000,46526,04263,07:30 AM,06:15 AM,08:00 AM,12:00 AM,10:00 PM,01:00 AM,1,NA,4,4,6,2024-06-11 22:41:36,,,,,,
3771,UCD Sona,2024-06-13T19:17:49Z,TRUE,4,3,3,2,1,3,2,4,2,1,1,3,3,1,3,3,4,1,1,2,1,4,4,3,1,4,2,1,1,1,6,1,2,2,2,3,3,2,2,4,4,1,4,4,5,2,2,4,4,1,2,4,5,3,4,5,5,1,2,4,4,2,1,4,4,1,1,4,3,3,2,4,4,3,4,2,1,4,5,1,1,4,4,1,1,5,5,5,4,2,5,5,5,1,3,4,4,1,1,2,1,5,3,4,2,4,4,4,4,Friendly,Hard working,Dependable,2,5,1,1,6,6,1,6,6,6,6,1,6,4,6,5,2,6,6,7,7,NA,NA,1,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,2,3,3,4,4,3,3,1,1,2,0,1,1,4,1,3,2,3,0,1969,54,0,NA,NA,NA,NA,1,NA,NA,3,3,3,0,NA,1,United States,2,0,1,8,4,1,1,$150000,92683,95688,07:00 am,06:00 am,07:00 am,10:00 pm,09:00 pm,11:00 pm,1,NA,NA,4,6,2024-06-13 15:17:58,,,,,,
18471,UCD Sona,2024-06-14T11:59:31Z,TRUE,4,4,4,1,1,4,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,1,1,4,4,6,6,6,6,2,2,2,2,3,3,3,3,3,3,4,1,4,1,3,1,4,4,1,1,5,5,1,1,5,5,1,1,5,1,1,3,4,4,1,1,5,5,1,1,5,5,1,1,4,1,5,5,1,1,4,5,1,1,5,5,4,5,1,1,5,5,1,1,4,4,1,1,1,1,5,3,4,1,5,4,4,5,Honesty,Determined,Loyal,1,6,1,1,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,2,5,2,3,3,3,3,1,1,4,1,1,1,1,2,1,2,3,1,1978,46,0,NA,NA,NA,NA,1,NA,NA,2,3,3,1,NA,1,USA,4,0,1,8,4,1,3,$21000,26525,26525,06:00 AM,06:00,06:00,01:00,01:00,01:00,1,NA,4,2,2,2024-06-14 07:59:45,,,,,,
13404,UCD Sona,2024-06-19T21:38:46Z,TRUE,4,3,3,2,2,4,3,3,2,2,2,3,3,2,3,3,3,3,2,2,2,3,3,3,2,3,3,6,6,6,6,5,5,5,5,2,2,1,1,3,2,5,4,2,2,2,3,3,3,3,2,4,4,2,1,4,5,2,2,3,4,3,3,3,3,2,2,4,4,2,2,4,4,2,4,2,3,4,4,1,2,4,4,2,2,4,4,5,4,1,2,5,4,1,2,4,4,1,1,1,2,3,3,2,2,4,3,3,3,Reserved,Thoughtful,Curious,4,3,2,3,4,3,1,3,3,3,5,2,2,6,4,6,4,4,5,5,6,None,None,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,3,2,3,2,4,2,1,2,2,0,1,2,4,1,2,2,3,0,1963,61,0,NA,NA,NA,NA,1,NA,NA,6,5,4,0,NA,1,USA,4,0,0,8,4,1,3,$125000,27330,10524,06:15 AM,05:30 AM,07:00 AM,11:00 PM,10:30 PM,11:30 PM,2,NA,3,5,1,2024-06-19 17:48:05,,,,,,
6914,UCD Sona,2024-06-19T22:34:45Z,TRUE,4,4,4,1,1,4,1,4,3,2,2,3,4,2,4,3,4,2,1,2,2,3,3,3,2,3,3,4,2,6,6,4,2,5,6,3,3,5,6,4,3,3,4,3,4,2,3,4,4,2,4,5,5,1,1,5,5,1,3,4,4,2,2,4,4,2,2,5,4,1,1,5,5,2,1,2,2,5,4,2,1,5,4,1,1,5,5,3,3,2,3,2,3,4,4,4,4,2,2,2,2,5,3,4,1,4,5,4,4,Steady,Responsible,Kind,1,5,1,1,4,4,1,7,6,6,7,5,7,5,6,6,6,6,6,7,3,Marijuana,Marijuana,2,1,1,1,1,1,1,4,1,0,3,0,0,1,1,0,0,0,1,2,2,4,4,2,3,2,1,2,0,1,4,4,1,3,2,2,0,1965,58,0,NA,NA,NA,NA,1,NA,NA,5,6,7,1,NA,1,United States,2,0,1,8,4,1,1,$100000,96062,95618,6:00 am,5:00 am,7:00 am,9:30 pm,9:00 pm,10:00 pm,1,NA,2,1,1,2024-06-19 18:35:09,,,,,,
18976,UCD Sona,2024-06-19T22:40:36Z,TRUE,1,1,1,4,4,1,4,1,3,3,3,2,2,3,3,2,2,3,4,3,3,2,1,3,4,2,2,1,2,1,1,1,2,1,1,5,6,5,2,3,4,3,3,4,4,5,2,3,3,3,4,2,4,4,4,5,3,2,4,3,2,4,4,4,4,2,1,5,5,1,2,4,5,2,2,4,3,4,1,3,3,3,3,4,2,4,3,3,4,2,1,4,2,1,3,4,4,1,1,4,2,2,4,4,1,4,2,4,4,persistence,teachable,experience,1,2,4,1,3,5,4,2,3,3,5,2,6,2,6,2,5,2,2,4,5,"ibuprofen, aspirin",ibuprofen,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,0,5,4,2,2,2,4,2,4,3,4,3,1,2,2,1,3,3,3,3,1970,54,1,NA,NA,NA,NA,1,NA,NA,6,4,2,0,NA,1,United States,2,2,1,8,4,1,3,$140000,94510,95835,07:00 AM,06:00 AM,09:00 AM,12:00 AM,11:00 PM,01:00 AM,1,NA,3,1,1,2024-06-19 18:41:02,,,,,,
5434,UCD Sona,2024-06-19T23:45:42Z,TRUE,4,3,3,2,1,4,4,3,3,3,3,3,3,2,3,3,3,3,2,3,3,4,3,2,3,3,4,3,4,5,3,5,5,6,3,3,6,6,1,4,2,3,4,3,4,3,2,3,3,2,4,5,5,1,2,5,4,1,4,4,3,3,4,4,4,1,1,4,5,2,2,5,5,2,2,3,4,5,2,2,2,5,5,3,3,4,4,4,2,3,3,4,4,4,1,5,4,3,1,1,1,5,3,4,2,5,4,4,4,Independence,Helpfulness,Conscientious,1,5,4,1,6,6,5,4,6,5,5,3,4,6,7,5,5,3,4,6,5,NA,NA,1,1,1,1,1,1,1,2,0,1,1,0,0,0,0,0,0,1,2,3,4,2,2,1,2,3,2,2,1,1,2,2,1,3,2,3,2,1974,49,0,NA,NA,NA,NA,1,NA,NA,3,3,3,1,NA,1,United States,2,0,1,8,4,1,1,$110000,93013,95667,05:00 AM,04:30 AM,09:30 AM,10:30 PM,09:00 PM,11:45 PM,1,NA,6,1,2,2024-06-19 19:45:59,,,,,,
4916,UCD Sona,2024-06-20T03:57:20Z,TRUE,2,2,2,1,1,2,2,4,1,1,1,4,4,1,3,4,4,2,2,1,1,4,4,3,1,4,4,3,2,2,1,2,2,2,1,3,4,2,1,5,5,1,2,4,5,3,1,5,5,1,1,5,5,1,1,5,5,3,1,5,5,3,2,3,3,2,4,5,5,1,2,5,5,3,1,3,5,2,2,1,1,5,5,1,2,4,3,5,3,1,1,5,5,1,4,5,5,1,1,3,1,5,5,5,3,5,5,5,5,Creative,Kind-hearted,Multi-talented,2,6,1,1,6,6,1,7,7,7,7,6,6,6,7,6,7,1,3,7,7,NA,NA,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,0,0,3,4,1,2,3,3,2,1966,58,0,NA,NA,NA,NA,1,1,NA,5,6,5,1,NA,1,United States,2,0,1,8,4,1,1,$95000,85711,85749,05:30 AM,05:00 AM,07:00 AM,10:30 PM,10:00 PM,12:30 PM,1,NA,6,5,4,2024-06-19 23:57:40,,,,,,
12004,UCD Sona,2024-06-20T04:46:19Z,FALSE,4,4,4,1,1,4,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,3,1,4,4,2,1,1,3,3,2,1,3,4,4,4,4,3,5,3,4,3,5,1,1,3,4,2,3,5,5,1,1,5,5,1,2,5,5,4,3,5,3,1,1,5,5,1,1,5,5,1,2,3,1,3,5,1,1,5,5,1,2,3,1,5,4,1,1,5,5,2,1,5,5,1,1,1,1,5,5,5,1,5,5,5,5,Helpful,Sympathetic,Dedicated,1,6,1,1,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,2,3,3,1,1,0,2,3,3,1,2,4,3,1,1969,55,0,1,NA,NA,NA,NA,NA,NA,3,4,2,1,NA,1,United States,2,0,1,8,4,1,3,$100000,94580,95776,5:30 AM,5:30 AM,5:30 AM,9:00 PM,7:00 PM,9:00 PM,1,NA,1,5,2,2024-06-20 00:46:35,,,,,,
