old,new
10171,01
10172,02
10173,03
101801,04
101802,05
101806,06
101807,07
101808,08
101809,09
10191,10
101902,11
101903,12
101904,13
101905,14
101906,15
101907,16
101908,17
102201,18
102202,19
102203,20
102204,21
102205,22
102206,23
102207,24
102208,25
102301,26
102302,27
102303,28
102304,29
102305,30
102401,31
102402,32
102403,33
102404,34
102601,35
102901,36
102902,37
102903,38
102905,39
102906,40
102904,41
102907,42
103001,43
103002,44
110101,45
110102,46
110103,47
110104,48
110201,49
110202,50
110203,51
110501,52
110502,53
110506,54
110507,55
110503,56
110504,57
110505,58
110601,59
110602,60
110603,61
110604,62
110605,63
110701,64
110702,65
110703,66
110704,67
110705,68
110706,69
110801,70
110802,71
110803,72
110804,73
110805,74
110806,75
110807,76
110808,77
443968,78
110810,79
110811,80
110901,81
110902,82
110903,83
110904,84
111401,85
111402,86
111403,87
111404,88
111405,89
112001,90
112002,91
112801,92
112802,93
112803,94
112804,95
112805,96
112806,97
112901,98
112902,99
112903,100
112904,101
112905,102
031501,103
031502,104
032201,105
032202,106
032203,107
032901,108
032902,109
040501,110
040502,111
040503,112
040504,113
040505,114
041201,115
041202,116
041203,117
041204,118
041205,119
041206,120
041207,121
041208,122
041209,123
041210,124
041901,125
041902,126
041903,127
041904,128
041905,129
041906,130
041907,131
042601,132
042602,133
042603,134
091101,135
091102,136
091301,137
091302,138
091701,139
091702,140
091801,141
091802,142
091901,143
091902,144
091903,145
091904,146
092001,147
092002,148
092003,149
092004,150
092005,151
092006,152
092701,153
092702,154
092703,155
092704,156
092705,157
092706,158
092707,159
092708,160
092709,161
092710,162
100401,163
100402,164
100403,165
100404,166
100405,167
100406,168
10181901,169
10181902,170
10181903,171
10181904,172
10181905,173
10181906,174
10281901,175
10281902,176
10301901,177
10301902,178
11021901,179
11021902,180
11021903,181
11031901,182
11031902,183
11031903,184
11031904,185
11031905,186
11081901,187
11081902,188
11081903,189
11081904,190
11081905,191
11081906,192
11151901,193
11151902,194
11151903,195
11151904,196
11151905,197
11151906,198
11111901,199
11111902,200
11111903,201
11111904,202
11141901,203
11141902,204
11141903,205
11151907,206
11151908,207
11151909,208
11201901,209
11201902,210
11201903,211
11201904,212
11221901,213
11221902,214
11221903,215
11221904,216
11221905,217
12031901,218
12041909,219
12041910,220
12041911,221
12041912,222
