old,new
16665,28019
16629,71669
15534,92518
17032,35596
16362,19418
13927,73094
16733,57516
16253,82713
16863,96084
14793,19941
16904,34595
15425,54146
15617,38656
10344,60325
16069,33633
16090,28169
15992,44877
6862,89907
16385,59942
15732,85795
16854,90118
17086,74862
15572,29020
12857,30314
16881,22598
12065,53192
16900,49367
16562,96936
16974,22772
16095,95947
17049,50025
16764,15343
8934,34763
14501,12803
15923,11303
16823,53845
5227,63563
12454,63806
14739,45791
16838,45714
16685,83446
16207,31168
14657,84417
11814,58012
14694,93604
8847,59481
16941,78412
17063,16166
16396,81424
13273,66952
12634,44612
15014,60964
14990,92978
10117,97828
16147,93972
16966,44304
15042,33001
16481,33173
16384,27720
16963,22276
16320,66156
16561,25637
16324,87978
16607,99039
15694,98796
15314,90280
16964,89939
13321,24161
16300,93740
16365,84423
17033,84640
10208,74560
16960,24072
16932,85191
15507,12045
15372,92721
11707,13512
16101,73010
15292,49897
16943,38248
16848,94548
15806,84136
16182,29004
12271,18247
16874,52324
17122,14505
16915,97389
15202,80483
17120,39159
16072,65033
16032,74171
15100,40239
16998,26878
16398,45721
14807,39040
16465,83435
17126,31099
13729,66286
16642,52516
15730,51013
16890,93546
16483,74865
16197,61700
16655,92820
17071,86194
12491,45871
15358,34928
16910,56757
13445,50979
16568,38483
16390,25974
16847,56391
16394,79692
16765,36633
16729,50965
16656,45364
14546,52700
17088,19282
6937,63300
17192,26754
11783,21507
17058,98369
6731,82330
17194,88258
17160,35335
16412,13798
14175,72116
17044,78664
16880,30125
15051,40041
17145,42976
16609,25964
13423,11599
14070,85974
16956,44329
15308,10497
14777,19146
13143,49139
15601,45088
16567,63611
17006,47722
15067,32380
16937,46967
16201,90943
17210,67214
17201,75145
15286,56161
17154,68023
15416,69435
16353,72795
15973,49444
16859,65052
17099,85135
16588,17241
17054,59337
16832,72663
15007,61751
16297,38693
11607,35808
17223,83203
12654,72181
17198,40327
16399,13665
16804,91774
17245,85181
17191,68400
16352,54135
17184,25559
17144,77533
15788,98331
16773,31488
17155,93459
